Country Name,Country Code,Indicator Name,Indicator Code,2016
Libya,LBY,"Population, total",SP.POP.TOTL,6293253
St. Lucia,LCA,"Population, total",SP.POP.TOTL,178015
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37666
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21203000
Lesotho,LSO,"Population, total",SP.POP.TOTL,2203821
Lithuania,LTU,"Population, total",SP.POP.TOTL,2872298
Luxembourg,LUX,"Population, total",SP.POP.TOTL,582972
Latvia,LVA,"Population, total",SP.POP.TOTL,1960424
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,612167
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,31949
Morocco,MAR,"Population, total",SP.POP.TOTL,35276786
Monaco,MCO,"Population, total",SP.POP.TOTL,38499
Moldova,MDA,"Population, total",SP.POP.TOTL,3552000
Madagascar,MDG,"Population, total",SP.POP.TOTL,24894551
Maldives,MDV,"Population, total",SP.POP.TOTL,417492
Mexico,MEX,"Population, total",SP.POP.TOTL,127540423
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,53066
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2081206
Mali,MLI,"Population, total",SP.POP.TOTL,17994837
Malta,MLT,"Population, total",SP.POP.TOTL,436947
Myanmar,MMR,"Population, total",SP.POP.TOTL,52885223
Montenegro,MNE,"Population, total",SP.POP.TOTL,622781
Mongolia,MNG,"Population, total",SP.POP.TOTL,3027398
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,55023
Mozambique,MOZ,"Population, total",SP.POP.TOTL,28829476
Mauritania,MRT,"Population, total",SP.POP.TOTL,4301018
Mauritius,MUS,"Population, total",SP.POP.TOTL,1263473
Malawi,MWI,"Population, total",SP.POP.TOTL,18091575
Malaysia,MYS,"Population, total",SP.POP.TOTL,31187265
Namibia,NAM,"Population, total",SP.POP.TOTL,2479713
New Caledonia,NCL,"Population, total",SP.POP.TOTL,278000
Niger,NER,"Population, total",SP.POP.TOTL,20672987
Nigeria,NGA,"Population, total",SP.POP.TOTL,185989640
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6149928
Netherlands,NLD,"Population, total",SP.POP.TOTL,17018408
Norway,NOR,"Population, total",SP.POP.TOTL,5232929
Nepal,NPL,"Population, total",SP.POP.TOTL,28982771
Nauru,NRU,"Population, total",SP.POP.TOTL,13049
New Zealand,NZL,"Population, total",SP.POP.TOTL,4692700
Oman,OMN,"Population, total",SP.POP.TOTL,4424762
Pakistan,PAK,"Population, total",SP.POP.TOTL,193203476
Panama,PAN,"Population, total",SP.POP.TOTL,4034119
Peru,PER,"Population, total",SP.POP.TOTL,31773839
Philippines,PHL,"Population, total",SP.POP.TOTL,103320222
Palau,PLW,"Population, total",SP.POP.TOTL,21503
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8084991
Poland,POL,"Population, total",SP.POP.TOTL,37948016
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3411307
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25368620
Portugal,PRT,"Population, total",SP.POP.TOTL,10324611
Paraguay,PRY,"Population, total",SP.POP.TOTL,6725308
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4551566
French Polynesia,PYF,"Population, total",SP.POP.TOTL,280208
Qatar,QAT,"Population, total",SP.POP.TOTL,2569804
Romania,ROU,"Population, total",SP.POP.TOTL,19705301
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144342396
Rwanda,RWA,"Population, total",SP.POP.TOTL,11917508
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,32275687
Sudan,SDN,"Population, total",SP.POP.TOTL,39578828
Senegal,SEN,"Population, total",SP.POP.TOTL,15411614
Singapore,SGP,"Population, total",SP.POP.TOTL,5607283
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,599419
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7396190
El Salvador,SLV,"Population, total",SP.POP.TOTL,6344722
San Marino,SMR,"Population, total",SP.POP.TOTL,33203
Somalia,SOM,"Population, total",SP.POP.TOTL,14317996
Serbia,SRB,"Population, total",SP.POP.TOTL,7057412
South Sudan,SSD,"Population, total",SP.POP.TOTL,12230730
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,199910
Suriname,SUR,"Population, total",SP.POP.TOTL,558368
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5428704
Slovenia,SVN,"Population, total",SP.POP.TOTL,2064845
Sweden,SWE,"Population, total",SP.POP.TOTL,9903122
Swaziland,SWZ,"Population, total",SP.POP.TOTL,1343098
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40005
Seychelles,SYC,"Population, total",SP.POP.TOTL,94677
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,18430453
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,34900
Chad,TCD,"Population, total",SP.POP.TOTL,14452543
Togo,TGO,"Population, total",SP.POP.TOTL,7606374
Thailand,THA,"Population, total",SP.POP.TOTL,68863514
Tajikistan,TJK,"Population, total",SP.POP.TOTL,8734951
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5662544
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1268671
Tonga,TON,"Population, total",SP.POP.TOTL,107122
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1364962
Tunisia,TUN,"Population, total",SP.POP.TOTL,11403248
Turkey,TUR,"Population, total",SP.POP.TOTL,79512426
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11097
Tanzania,TZA,"Population, total",SP.POP.TOTL,55572201
Uganda,UGA,"Population, total",SP.POP.TOTL,41487965
Ukraine,UKR,"Population, total",SP.POP.TOTL,45004645
Uruguay,URY,"Population, total",SP.POP.TOTL,3444006
United States,USA,"Population, total",SP.POP.TOTL,323127513
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,31848200
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,109643
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,31568179
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30661
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,102951
Vietnam,VNM,"Population, total",SP.POP.TOTL,92701100
Vanuatu,VUT,"Population, total",SP.POP.TOTL,270402
Samoa,WSM,"Population, total",SP.POP.TOTL,195125
Kosovo,XKX,"Population, total",SP.POP.TOTL,1816200
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,27584213
South Africa,ZAF,"Population, total",SP.POP.TOTL,55908865
Zambia,ZMB,"Population, total",SP.POP.TOTL,16591390
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,16150362
